진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,금천구,여,10~19세,0,0,0
2023,서울,금천구,여,20~29세,10,17,246530
2023,서울,금천구,여,30~39세,11,13,197700
2023,서울,금천구,여,40~49세,17,31,481530
2023,서울,금천구,여,50~59세,0,0,0
2023,서울,금천구,여,60~69세,0,0,0
2023,서울,금천구,여,70~79세,0,0,0
2023,서울,금천구,여,80~89세,0,0,0
2023,서울,금천구,여,90~99세,0,0,0
2023,서울,금천구,여,100세 이상,0,0,0
2023,부산,부산남구,남,0~9세,0,0,0
2023,부산,부산남구,남,10~19세,0,0,0
2023,부산,부산남구,남,20~29세,0,0,0
2023,부산,부산남구,남,30~39세,0,0,0
2023,부산,부산남구,남,40~49세,0,0,0
2023,부산,부산남구,남,50~59세,0,0,0
2023,부산,부산남구,남,60~69세,0,0,0
2023,부산,부산남구,남,70~79세,0,0,0
2023,부산,부산남구,남,80~89세,0,0,0
2023,부산,부산남구,남,90~99세,0,0,0
2023,부산,부산남구,남,100세 이상,0,0,0
2023,부산,부산남구,여,0~9세,0,0,0
2023,부산,부산남구,여,10~19세,0,0,0
2023,부산,부산남구,여,20~29세,0,0,0
2023,부산,부산남구,여,30~39세,0,0,0
2023,부산,부산남구,여,40~49세,14,22,264750
2023,부산,부산남구,여,50~59세,0,0,0
2023,부산,부산남구,여,60~69세,0,0,0
2023,부산,부산남구,여,70~79세,0,0,0
2023,부산,부산남구,여,80~89세,0,0,0
2023,부산,부산남구,여,90~99세,0,0,0
2023,부산,부산남구,여,100세 이상,0,0,0
2023,부산,부산동구,남,0~9세,0,0,0
2023,부산,부산동구,남,10~19세,0,0,0
2023,부산,부산동구,남,20~29세,0,0,0
2023,부산,부산동구,남,30~39세,0,0,0
2023,부산,부산동구,남,40~49세,0,0,0
2023,부산,부산동구,남,50~59세,0,0,0
2023,부산,부산동구,남,60~69세,0,0,0
