시도,시군구,연령군,환자수
부산,부산기장군,40~49세,17
부산,부산기장군,50~59세,0
부산,부산기장군,60~69세,0
부산,부산기장군,70~79세,0
부산,부산기장군,80~89세,0
부산,부산기장군,90~99세,0
부산,부산기장군,100세 이상,0
인천,인천미추홀구,0~9세,0
인천,인천미추홀구,10~19세,0
인천,인천미추홀구,20~29세,0
인천,인천미추홀구,30~39세,0
인천,인천미추홀구,40~49세,0
인천,인천미추홀구,50~59세,0
인천,인천미추홀구,60~69세,0
인천,인천미추홀구,70~79세,0
인천,인천미추홀구,80~89세,0
인천,인천미추홀구,90~99세,0
인천,인천미추홀구,100세 이상,0
인천,인천미추홀구,0~9세,0
인천,인천미추홀구,10~19세,0
인천,인천미추홀구,20~29세,0
인천,인천미추홀구,30~39세,23
인천,인천미추홀구,40~49세,22
인천,인천미추홀구,50~59세,27
인천,인천미추홀구,60~69세,0
인천,인천미추홀구,70~79세,0
인천,인천미추홀구,80~89세,0
인천,인천미추홀구,90~99세,0
인천,인천미추홀구,100세 이상,0
인천,인천동구,0~9세,0
인천,인천동구,10~19세,0
인천,인천동구,20~29세,0
인천,인천동구,30~39세,0
인천,인천동구,40~49세,0
인천,인천동구,50~59세,0
인천,인천동구,60~69세,0
인천,인천동구,70~79세,0
